dataset,subject,n_trials,rhoA,okA,best_band_A,best_acc_A,gainB_g05,gainB,gainA_same_half
Lee2019-MI,39,100,0.6,0,1,0.64,-4.0000000000000036,-2.000000000000013,7.9999999999999964
Lee2019-MI,40,100,0.6,1,1,0.5999999999999999,4.0000000000000036,2.0000000000000018,1.1102230246251565e-14
Lee2019-MI,41,100,0.20519567041703082,0,1,0.6599999999999999,12.0,12.0,-5.999999999999995
Lee2019-MI,42,100,0.6155870112510925,0,0,0.62,3.9999999999999925,2.0000000000000018,7.9999999999999964
Lee2019-MI,43,100,0.19999999999999998,0,4,0.7200000000000001,-10.000000000000009,-7.9999999999999964,-4.0000000000000036
Lee2019-MI,44,100,0.49999999999999994,0,0,0.8800000000000001,-6.000000000000005,-12.00000000000001,-10.00000000000002
Lee2019-MI,45,100,0.3,0,0,0.9,-11.999999999999977,-21.999999999999986,-2.0000000000000018
Lee2019-MI,46,100,-0.8999999999999998,0,4,0.7,-3.9999999999999925,-6.000000000000005,-7.9999999999999964
Lee2019-MI,47,100,-0.3,0,0,0.74,-6.000000000000005,-7.9999999999999964,-9.999999999999998
Lee2019-MI,48,100,0.3,0,0,0.7,-4.0000000000000036,-7.9999999999999964,-8.000000000000007
Lee2019-MI,49,100,-0.49999999999999994,0,4,0.78,-12.00000000000001,-10.000000000000009,-12.0
Lee2019-MI,50,100,0.20519567041703082,1,0,0.76,-7.9999999999999964,-7.9999999999999964,-2.220446049250313e-14
Lee2019-MI,51,100,0.35909242322980395,0,1,0.64,-3.9999999999999925,-3.9999999999999925,9.999999999999998
Lee2019-MI,52,100,-0.6,0,4,0.76,-4.0000000000000036,-8.000000000000007,-14.000000000000012
Lee2019-MI,53,100,-0.8999999999999998,0,4,0.7,-7.9999999999999964,-5.999999999999995,-3.9999999999999925
Lee2019-MI,54,100,-0.8999999999999998,0,2,0.66,-2.0000000000000018,-4.0000000000000036,-2.000000000000013
Cho2017,1,200,-0.051298917604257706,0,0,0.7699999999999999,-5.000000000000016,-3.0000000000000138,-3.0000000000000027
Cho2017,2,200,0.49999999999999994,0,1,0.53,1.0000000000000009,0.0,0.9999999999999953
Cho2017,3,200,0.0,0,4,0.82,-14.000000000000002,-19.000000000000007,-6.999999999999995
Cho2017,4,200,0.7999999999999999,1,1,0.76,1.000000000000012,2.0000000000000018,7.9999999999999964
Cho2017,5,200,-0.3,0,0,0.7300000000000001,4.999999999999993,4.999999999999982,-7.999999999999985
Cho2017,6,200,-0.49999999999999994,0,4,0.7100000000000001,3.0000000000000027,0.0,-8.999999999999996
Cho2017,7,240,0.7,1,1,0.575,-1.6666666666666718,-0.8333333333333304,0.0
Cho2017,8,200,-0.31622776601683794,0,2,0.52,-2.0000000000000018,2.9999999999999916,2.0000000000000018
Cho2017,9,240,-0.39999999999999997,0,0,0.65,-5.833333333333346,-6.666666666666677,-6.666666666666677
Cho2017,10,200,-0.39999999999999997,0,0,0.6100000000000001,-5.000000000000004,-8.999999999999996,-5.000000000000004
Cho2017,11,200,0.7,1,3,0.64,0.0,2.0000000000000018,7.000000000000006
Cho2017,12,200,-0.6668859288553501,0,0,0.66,-2.9999999999999916,-3.9999999999999925,2.0000000000000018
Cho2017,13,200,0.7,1,2,0.6900000000000001,-6.999999999999995,-5.999999999999995,-7.9999999999999964
Cho2017,14,200,0.7999999999999999,0,0,0.8799999999999999,4.999999999999993,4.999999999999993,-2.0000000000000018
Cho2017,15,200,-0.051298917604257706,0,0,0.6,1.1102230246251565e-14,-1.9999999999999796,1.0000000000000009
Cho2017,16,200,-0.3,0,3,0.5700000000000001,1.0000000000000009,2.0000000000000018,-0.9999999999999953
Cho2017,17,200,0.49999999999999994,0,0,0.5,7.000000000000001,3.9999999999999925,-1.000000000000012
Cho2017,18,200,0.41039134083406165,0,4,0.53,-5.000000000000016,-7.000000000000006,-1.0000000000000009
Cho2017,19,200,-0.09999999999999999,0,2,0.61,-2.9999999999999916,-4.0000000000000036,-2.0000000000000018
Cho2017,20,200,-0.3,0,0,0.5599999999999999,-7.9999999999999964,-7.000000000000006,-7.000000000000006
Cho2017,21,200,0.3,0,4,0.6799999999999999,4.0000000000000036,-2.0000000000000018,1.000000000000023
Cho2017,22,200,-0.15389675281277312,0,0,0.5700000000000001,-2.0000000000000018,-5.000000000000004,-8.999999999999996
Cho2017,23,200,0.051298917604257706,1,1,0.7399999999999999,8.000000000000007,13.00000000000001,11.999999999999977
Cho2017,24,200,-0.7,0,1,0.6699999999999999,-8.000000000000002,-2.9999999999999973,-3.9999999999999982
Cho2017,25,200,0.19999999999999998,1,0,0.67,2.0000000000000018,5.000000000000004,1.0000000000000009
Cho2017,26,200,-0.3,0,4,0.7,-1.000000000000012,-2.0000000000000018,-2.0000000000000018
Cho2017,27,200,-0.30779350562554625,0,3,0.56,3.0000000000000027,1.0000000000000009,3.9999999999999925
Cho2017,28,200,0.7,1,0,0.63,-3.9999999999999982,0.0,-1.9999999999999907
Cho2017,29,200,0.35909242322980395,1,1,0.5399999999999999,5.000000000000004,3.0000000000000027,2.0000000000000018
Cho2017,30,200,0.41039134083406165,0,2,0.53,-4.999999999999999,1.9999999999999962,-2.0000000000000018
Cho2017,31,200,-0.8999999999999998,0,1,0.7100000000000001,5.00000000000001,2.0000000000000018,-8.000000000000002
Cho2017,32,200,0.3354101966249684,0,2,0.51,-4.0000000000000036,-7.000000000000006,-2.9999999999999916
Cho2017,33,200,0.0,0,1,0.6,-1.9999999999999907,0.9999999999999953,1.0000000000000009
Cho2017,34,200,0.19999999999999998,0,4,0.61,-1.000000000000012,-2.0000000000000018,6.000000000000005
Cho2017,35,200,0.9999999999999999,1,1,0.78,2.220446049250313e-14,-1.9999999999999907,4.0000000000000036
Cho2017,36,200,0.20519567041703082,1,0,0.65,4.0000000000000036,5.999999999999995,3.9999999999999925
Cho2017,37,200,-0.6,0,3,0.7299999999999999,-5.999999999999995,-8.999999999999996,-10.999999999999998
Cho2017,38,200,0.6,0,0,0.5900000000000001,1.0000000000000009,-1.9999999999999962,-1.9999999999999962
Cho2017,39,200,-0.09999999999999999,0,1,0.58,-0.9999999999999953,3.000000000000008,-3.9999999999999925
Cho2017,40,200,-0.6708203932499368,0,0,0.5,-4.999999999999999,-4.999999999999999,3.9999999999999925
Cho2017,41,200,-0.7999999999999999,0,0,0.7200000000000001,-6.999999999999995,-10.999999999999998,-15.999999999999993
Cho2017,42,200,-0.7,0,1,0.5700000000000001,6.0,6.0,-2.9999999999999973
Cho2017,43,200,0.7999999999999999,0,1,0.9200000000000002,-1.0000000000000009,-1.0000000000000009,5.000000000000004
Cho2017,44,200,0.0,0,4,0.6700000000000002,1.0000000000000009,-4.0000000000000036,-3.0000000000000138
Cho2017,45,200,-0.6,0,0,0.55,-3.0000000000000027,-3.9999999999999982,6.000000000000005
Cho2017,46,240,-0.19999999999999998,0,0,0.7083333333333333,-5.000000000000016,-9.166666666666668,-19.166666666666664
Cho2017,47,200,0.5642880936468347,1,0,0.5900000000000001,-7.0000000000000115,-14.000000000000002,-1.0000000000000064
Cho2017,48,200,0.6668859288553501,1,1,0.78,5.999999999999983,5.999999999999972,10.999999999999998
Cho2017,49,200,0.051298917604257706,1,1,0.65,0.0,-3.9999999999999925,-6.000000000000005
Cho2017,50,200,0.09999999999999999,1,2,0.7,-2.0000000000000018,-4.999999999999993,3.0000000000000027
Cho2017,51,200,-0.3,0,0,0.52,-1.0000000000000009,-1.0000000000000009,2.0000000000000018
Cho2017,52,200,-0.3,0,4,0.56,-0.9999999999999898,-1.0000000000000009,-3.9999999999999982
Dreyer2023,1,240,0.8999999999999998,1,0,0.85,9.166666666666679,10.83333333333334,10.000000000000009
Dreyer2023,2,240,0.7,1,1,0.6416666666666667,1.666666666666683,1.666666666666683,-0.8333333333333415
Dreyer2023,3,240,0.7,1,4,0.9583333333333334,9.166666666666679,10.00000000000002,10.833333333333329
Dreyer2023,4,240,0.09999999999999999,0,3,0.7666666666666668,4.1666666666666625,3.3333333333333215,0.8333333333333304
Dreyer2023,5,240,0.15389675281277312,0,0,0.7,1.6666666666666607,-1.6666666666666718,-7.499999999999996
Dreyer2023,6,240,0.7,1,0,0.725,3.3333333333333326,9.166666666666679,3.3333333333333437
Dreyer2023,7,240,0.8999999999999998,1,2,0.6583333333333334,-3.3333333333333215,-7.499999999999996,-6.666666666666677
Dreyer2023,8,240,0.3,0,3,0.6083333333333334,4.166666666666674,9.166666666666679,-5.833333333333335
Dreyer2023,9,240,0.6668859288553501,1,1,0.7166666666666667,2.49999999999998,1.6666666666666607,-4.166666666666686
Dreyer2023,10,240,0.7,1,1,0.9,-1.6666666666666607,-2.500000000000002,0.8333333333333415
Dreyer2023,11,240,0.09999999999999999,0,1,0.6583333333333334,-2.5000000000000133,-1.6666666666666718,0.8333333333333304
Dreyer2023,12,240,0.3,0,4,0.6333333333333334,2.499999999999991,4.999999999999993,-1.6666666666666607
Dreyer2023,13,240,0.7999999999999999,1,0,0.725,4.1666666666666625,5.000000000000004,1.6666666666666607
Dreyer2023,14,240,0.0,1,3,0.5666666666666667,-1.6666666666666607,0.0,-2.500000000000002
Dreyer2023,15,240,0.19999999999999998,0,0,0.7750000000000001,2.499999999999991,-0.8333333333333526,-1.666666666666683
Dreyer2023,16,240,0.6,0,1,0.5833333333333334,-5.833333333333323,-9.166666666666657,4.1666666666666625
Dreyer2023,17,240,-0.6,0,0,0.7083333333333333,0.8333333333333304,1.6666666666666718,-1.1102230246251565e-14
Dreyer2023,18,240,0.6,0,0,0.9166666666666666,8.333333333333325,6.666666666666677,11.666666666666659
Dreyer2023,19,240,0.9999999999999999,1,0,0.9583333333333334,2.500000000000002,2.500000000000002,3.3333333333333215
Dreyer2023,20,240,0.7999999999999999,0,0,0.825,0.8333333333333415,-0.8333333333333193,2.500000000000002
Dreyer2023,21,240,0.09999999999999999,0,3,0.6833333333333333,-0.8333333333333304,-3.3333333333333326,-6.666666666666665
Dreyer2023,22,240,0.3,1,1,0.9166666666666666,10.00000000000002,9.999999999999998,6.666666666666687
Dreyer2023,23,240,0.3,1,0,0.7416666666666666,2.499999999999991,4.1666666666666625,4.999999999999993
Dreyer2023,24,240,0.8999999999999998,1,0,0.9,-1.6666666666666607,-4.999999999999982,-3.3333333333333326
Dreyer2023,25,240,0.9746794344808964,1,0,0.8166666666666667,1.6666666666666718,0.8333333333333415,2.499999999999991
Dreyer2023,26,240,-0.6,0,1,0.7166666666666667,-4.1666666666666625,-2.500000000000002,-4.1666666666666625
Dreyer2023,27,240,0.6,0,4,0.5583333333333333,-0.8333333333333304,-4.166666666666669,1.6666666666666496
Dreyer2023,28,240,-0.49999999999999994,0,0,0.5083333333333333,3.3333333333333326,2.499999999999991,-3.3333333333333215
Dreyer2023,29,240,0.39999999999999997,1,0,0.6583333333333334,1.1102230246251565e-14,3.3333333333333437,4.999999999999982
Dreyer2023,30,240,0.6,0,1,0.6,2.499999999999991,4.999999999999993,8.333333333333325
Dreyer2023,31,240,-0.09999999999999999,0,3,0.625,4.999999999999993,6.666666666666665,-2.500000000000002
Dreyer2023,32,240,-0.19999999999999998,0,0,0.6416666666666667,-0.8333333333333415,0.0,-4.166666666666674
Dreyer2023,33,240,0.9999999999999999,1,3,0.7583333333333334,-2.500000000000002,-4.166666666666674,-2.500000000000002
Dreyer2023,34,240,0.8999999999999998,1,1,0.6083333333333333,-3.3333333333333326,-4.999999999999993,10.83333333333334
Dreyer2023,35,240,0.7,1,0,0.9083333333333334,4.1666666666666625,6.666666666666665,2.5000000000000244
Dreyer2023,36,240,0.15389675281277312,1,0,0.6666666666666667,-6.666666666666665,-12.5,-0.8333333333333304
Dreyer2023,37,240,0.09999999999999999,1,0,0.6833333333333333,-4.999999999999993,-3.3333333333333326,-9.166666666666668
Dreyer2023,38,240,0.8999999999999998,0,1,0.6833333333333333,-3.3333333333333437,-3.3333333333333437,5.000000000000004
Dreyer2023,39,240,0.8999999999999998,1,1,0.9166666666666667,1.6666666666666718,1.1102230246251565e-14,0.0
Dreyer2023,40,232,-0.09999999999999999,0,1,0.5945652173913043,3.4420289855072395,3.4057971014492705,0.0
Dreyer2023,41,240,0.7,1,0,0.6416666666666667,-2.500000000000002,-5.000000000000004,-3.3333333333333326
Dreyer2023,42,240,0.8999999999999998,1,2,0.5833333333333333,-3.3333333333333326,-3.3333333333333215,4.166666666666669
Dreyer2023,43,240,0.6,1,0,0.6166666666666667,-1.6666666666666607,-1.6666666666666607,2.500000000000002
Dreyer2023,44,240,0.19999999999999998,0,0,0.6916666666666667,0.8333333333333193,4.1666666666666625,-0.8333333333333304
Dreyer2023,45,240,0.35909242322980395,0,2,0.575,3.3333333333333326,-0.8333333333333304,-5.000000000000004
