dataset,subject,n_bands,n_channels,n_trials,best_band,best_band_acc,acc_spread,band_acc,logvar_li_argmax,logvar_li_correct,logvar_li_rho,logvar_li_maxw,logvar_li_entropy,logvar_li_mi_max,logvar_li_acc_cost,logpower_argmax,logpower_correct,logpower_rho,logpower_maxw,logpower_entropy,logpower_mi_max,logpower_acc_cost,csp_argmax,csp_correct,csp_rho,csp_maxw,csp_entropy,csp_mi_max,csp_acc_cost
Cho2017,22,7,64,200,1,0.615,0.14,0.5450;0.6150;0.5150;0.4750;0.5050;0.5050;0.5700,6,0,0.5357142857142858,0.29916272666174387,1.7934538169855099,0.028875693456140866,0.04499999999999993,1,1,0.3214285714285715,0.2106215721679484,1.908817958410221,0.019112089019323517,0.0,6,0,-0.1785714285714286,0.644786838604449,0.9305991494344149,0.21645390741946036,0.04499999999999993
Cho2017,23,7,64,200,2,0.7999999999999999,0.3349999999999999,0.5400;0.6300;0.8000;0.4650;0.4700;0.6050;0.5100,0,0,0.7142857142857144,0.802196586748452,0.7794713817920265,0.06501767433244836,0.2599999999999999,2,1,0.7142857142857144,0.3503008520458884,1.8032207124450916,0.03111583163315922,0.0,2,1,-0.10714285714285716,0.9830185273737634,0.11285551262125179,0.24656524042874065,0.0
Cho2017,24,7,64,200,2,0.595,0.16499999999999998,0.4900;0.5850;0.5950;0.5350;0.5100;0.4300;0.4400,0,0,0.21428571428571433,0.2525323746465627,1.835768410252323,0.02186238731783467,0.10499999999999993,5,0,-0.25,0.19045471423275026,1.929211105762887,0.01910617303154007,0.16499999999999998,3,0,-0.25,0.8613210189925784,0.5962463370293921,0.21514944926217563,0.05999999999999994
Cho2017,25,7,64,200,1,0.625,0.21500000000000002,0.4950;0.6250;0.4700;0.4100;0.4850;0.4600;0.4350,1,1,0.7857142857142859,0.3849834163888596,1.64800734055206,0.04280835107629836,0.0,1,1,0.21428571428571433,0.24695804813365638,1.9043250710870767,0.024276523013626625,0.0,3,0,-0.14285714285714288,0.33460854456203587,1.6090631034423266,0.13837340412355237,0.21500000000000002
Cho2017,26,7,64,200,4,0.6900000000000001,0.13500000000000012,0.6700;0.5550;0.6500;0.6150;0.6900;0.6600;0.5600,5,0,0.39285714285714296,0.3416543118020894,1.6744122741014842,0.03545341453915903,0.030000000000000138,2,0,-0.10714285714285716,0.20054596019309498,1.9275166403216406,0.020218237349052502,0.039999999999999925,2,0,-0.3214285714285715,0.8588426319683613,0.6464217815663399,0.1832631770179066,0.039999999999999925
Cho2017,27,7,64,200,2,0.5599999999999999,0.07499999999999996,0.5250;0.5150;0.5600;0.5400;0.5400;0.4850;0.5250,3,0,0.7092081432669755,0.2734856081352272,1.766034393110552,0.029463758849353223,0.019999999999999907,6,0,-0.18184824186332701,0.19110480473605537,1.9218481118163462,0.019143208619443,0.03499999999999992,1,0,0.10910894511799621,0.4091740355742924,1.4936957921484484,0.18256217041221298,0.04499999999999993
Cho2017,28,7,64,200,0,0.6649999999999999,0.18499999999999983,0.6650;0.5400;0.5700;0.4800;0.5400;0.5100;0.6450,0,1,0.6126374746329801,0.690729201370949,1.1349080388597605,0.04843406186648299,0.0,0,1,0.396412483586046,0.26647780901203166,1.8733347712912611,0.026926296244045224,0.0,1,0,0.43244998209386837,0.8742892726737529,0.5421155031925743,0.18865593431254213,0.12499999999999989
Cho2017,29,7,64,200,2,0.5650000000000001,0.10499999999999998,0.5400;0.5550;0.5650;0.4800;0.4750;0.4800;0.4600,6,0,-0.12613124477737825,0.4586440370639515,1.5411596340786082,0.03687642951202393,0.10499999999999998,2,1,0.8928571428571429,0.19226121184292225,1.9071194394511404,0.019020061590233686,0.0,2,1,0.5,0.48554891414037304,1.3648872200247337,0.14598877157110376,0.0
Cho2017,30,7,64,200,0,0.5449999999999999,0.05999999999999994,0.5450;0.5250;0.4850;0.5350;0.5250;0.5000;0.5150,4,0,-0.12613124477737828,0.5909648865203871,1.3577587135175493,0.049461481399199814,0.019999999999999907,4,0,-0.4504687313477795,0.17792531906738204,1.9233459142292941,0.01736189429375178,0.019999999999999907,5,0,-0.3783937343321348,0.5665875407905682,1.181946114319609,0.20669709399453462,0.04499999999999993
Cho2017,31,7,64,200,2,0.6849999999999999,0.295,0.5750;0.4600;0.6850;0.4600;0.3900;0.5650;0.4650,5,0,0.8272727272727274,0.40580779212134654,1.6762257577612425,0.027267057595449156,0.11999999999999988,6,0,-0.6306562238868914,0.25756718548233076,1.8978791914681141,0.02158588065865681,0.21999999999999992,0,0,-0.18018749253911182,0.35997128543153295,1.4491648332761327,0.22469340737313864,0.10999999999999999
