dataset,subject,n_trials,n_channels,n_bands,tau,entropy,deficit,max_w,mi_range,argmax_w,argmax_disc,peak_correct,weights,disc,g0.0,g0.5,g1.0,g2.0,g4.0,gain,gain_best,FBCSP,FBCSP+MIBIF,AWFBCSP-published,AWFBCSP-noweight,published_minus_noweight
Lee2019-MI,43,100,62,5,0.015,1.3592149322469664,0.25022298018713385,0.44411846842999997,0.03336351895552925,3,3,1,0.0931;0.0480;0.1425;0.4441;0.2722,0.2184;0.3099;0.2823;0.3291;0.2494,0.8100000000000002,0.7300000000000001,0.7,0.6799999999999999,0.62,-0.11000000000000021,0.0,0.8299999999999998,0.78,0.7999999999999999,0.7999999999999999,0.0
Lee2019-MI,44,100,62,5,0.015,1.3719215356109202,0.23751637682318005,0.4915917134916863,0.028447527539537942,3,3,1,0.1459;0.1083;0.1805;0.4916;0.0738,0.2414;0.2034;0.1593;0.2595;0.1252,0.9,0.9099999999999999,0.9099999999999999,0.9,0.86,0.009999999999999898,0.009999999999999898,0.95,0.93,0.93,0.93,0.0
Lee2019-MI,45,100,62,5,0.015,0.8493590467444997,0.7600788656896006,0.772679861288449,0.04207535662136171,3,3,1,0.0608;0.0656;0.0542;0.7727;0.0468,0.2743;0.1854;0.2845;0.2955;0.2126,0.7699999999999999,0.8400000000000001,0.82,0.8400000000000001,0.8200000000000001,0.050000000000000044,0.07000000000000017,0.89,0.9399999999999998,0.8699999999999999,0.8699999999999999,0.0
Lee2019-MI,46,100,62,5,0.015,0.9753632636580136,0.6340746487760867,0.7202726643517671,0.03990430082530586,2,1,0,0.0845;0.0788;0.7203;0.0660;0.0504,0.1410;0.2300;0.1425;0.1598;0.1035,0.56,0.51,0.51,0.51,0.5199999999999999,-0.050000000000000044,0.0,0.61,0.53,0.6,0.6,0.0
Lee2019-MI,47,100,62,5,0.015,0.9956298720859844,0.6138080403481159,0.6721739320870671,0.0464504412924515,1,2,0,0.1927;0.6722;0.0663;0.0384;0.0304,0.2277;0.2115;0.2668;0.1966;0.2273,0.74,0.7,0.6599999999999999,0.6,0.57,-0.08000000000000007,0.0,0.75,0.66,0.72,0.72,0.0
Lee2019-MI,48,100,62,5,0.015,0.2445740432824197,1.3648638691516806,0.941443872273261,0.10750252489054028,4,0,0,0.0537;0.0019;0.0007;0.0022;0.9414,0.2097;0.1637;0.1943;0.1827;0.1748,0.5900000000000001,0.57,0.53,0.55,0.5599999999999999,-0.06000000000000005,0.0,0.5800000000000001,0.6100000000000001,0.61,0.61,0.0
Lee2019-MI,49,100,62,5,0.015,1.4615230996613382,0.14791481277276208,0.34660365171280383,0.030368082414087578,1,1,1,0.0458;0.3466;0.2159;0.2523;0.1394,0.2387;0.3404;0.2998;0.2774;0.2872,0.8299999999999998,0.78,0.7300000000000001,0.6900000000000001,0.61,-0.09999999999999976,0.0,0.8099999999999999,0.65,0.82,0.82,0.0
Lee2019-MI,50,100,62,5,0.015,0.5457492418232611,1.0636886706108393,0.8749034960195218,0.05409841695513329,2,0,0,0.0237;0.0323;0.8749;0.0239;0.0451,0.3582;0.3057;0.3078;0.3099;0.2718,0.62,0.55,0.52,0.48,0.5,-0.09999999999999998,0.0,0.6300000000000001,0.5199999999999999,0.6,0.6,0.0
Lee2019-MI,51,100,62,5,0.015,0.8298310260271224,0.7796068864069778,0.7497145823923443,0.05505732194533756,1,1,1,0.0231;0.7497;0.0191;0.1486;0.0595,0.1535;0.1733;0.0982;0.1577;0.1133,0.42000000000000004,0.48,0.51,0.51,0.51,0.08999999999999997,0.08999999999999997,0.48999999999999994,0.49000000000000005,0.5,0.5,0.0
Lee2019-MI,52,100,62,5,0.015,0.7754173386615104,0.8340205737725899,0.5796007211086612,0.08550083534284598,2,2,1,0.0019;0.0143;0.5796;0.0035;0.4006,0.1769;0.3442;0.3477;0.3110;0.3038,0.7700000000000001,0.7,0.6699999999999999,0.65,0.64,-0.1000000000000002,0.0,0.77,0.6799999999999999,0.79,0.79,0.0
Lee2019-MI,53,100,62,5,0.015,0.7225189178672451,0.8869189945668552,0.80130197886624,0.054117043209053556,0,0,1,0.8013;0.0217;0.0289;0.1166;0.0315,0.2597;0.1734;0.2018;0.2512;0.1245,0.5700000000000001,0.58,0.6100000000000001,0.66,0.66,0.040000000000000036,0.08999999999999997,0.57,0.63,0.5900000000000001,0.5900000000000001,0.0
Lee2019-MI,54,100,62,5,0.015,0.3401428947914313,1.269295017642669,0.919045489373171,0.08444437008238581,4,0,0,0.0113;0.0033;0.0631;0.0033;0.9190,0.1602;0.1442;0.0976;0.0755;0.0768,0.5900000000000001,0.59,0.55,0.51,0.51,-0.040000000000000036,0.0,0.5700000000000001,0.4999999999999999,0.5700000000000001,0.5700000000000001,0.0
Cho2017,1,200,64,5,0.015,1.3992761171957668,0.21016179523833345,0.4789633564871387,0.025787610393914008,3,4,0,0.0858;0.1378;0.1729;0.4790;0.1245,0.1474;0.1746;0.1477;0.1625;0.1995,0.675,0.665,0.665,0.635,0.645,-0.010000000000000009,0.0,0.6599999999999999,0.725,0.6599999999999999,0.6599999999999999,0.0
Cho2017,2,200,64,5,0.015,1.4052662283021289,0.2041716841319714,0.4003935748450724,0.022904840722637987,1,2,0,0.0942;0.4004;0.1083;0.0870;0.3101,0.1015;0.0772;0.1036;0.0839;0.0582,0.525,0.505,0.475,0.485,0.49000000000000005,-0.050000000000000044,0.0,0.525,0.575,0.515,0.515,0.0
Cho2017,3,200,64,5,0.015,1.313230916474204,0.2962069959598963,0.4144201728996974,0.04025626215709936,0,4,0,0.4144;0.0283;0.0523;0.2752;0.2298,0.1294;0.2097;0.2075;0.1751;0.2233,0.8,0.79,0.7749999999999999,0.705,0.67,-0.025000000000000133,0.0,0.7950000000000002,0.8250000000000002,0.79,0.79,0.0
Cho2017,4,200,64,5,0.015,0.8270696228674876,0.7823682895666126,0.7395154991879389,0.050501390006687075,1,4,0,0.0314;0.7395;0.0259;0.0255;0.1776,0.1154;0.2100;0.1422;0.1424;0.2296,0.735,0.72,0.735,0.72,0.6899999999999998,0.0,0.0,0.76,0.8550000000000001,0.76,0.76,0.0
Cho2017,5,200,64,5,0.015,1.3621696582316911,0.24726825420240917,0.49634415734082743,0.026775298968096196,0,3,0,0.4963;0.0885;0.1890;0.0833;0.1428,0.1896;0.1940;0.1917;0.2012;0.1839,0.7300000000000001,0.76,0.76,0.7700000000000001,0.755,0.029999999999999916,0.040000000000000036,0.71,0.635,0.705,0.705,0.0
Cho2017,6,200,64,5,0.015,1.583867717007131,0.025570195426969367,0.2582062911552654,0.010431307311604465,0,3,0,0.2582;0.1288;0.1845;0.1952;0.2333,0.1517;0.1772;0.1578;0.1908;0.1016,0.765,0.7550000000000001,0.765,0.74,0.6950000000000001,0.0,0.0,0.74,0.76,0.72,0.72,0.0
Cho2017,7,240,64,5,0.015,1.1473902801653335,0.4620476322687668,0.5697494968690756,0.036170229758831184,1,3,0,0.0518;0.5697;0.2673;0.0600;0.0511,0.0643;0.0358;0.0374;0.0868;0.0578,0.5166666666666667,0.5166666666666666,0.5,0.5125,0.5208333333333333,-0.01666666666666672,0.004166666666666541,0.5166666666666667,0.5041666666666667,0.5166666666666667,0.5166666666666667,0.0
Cho2017,8,200,64,5,0.015,1.5454012991718316,0.06403661326226873,0.345831645234295,0.014293433611230958,0,2,0,0.3458;0.1868;0.1503;0.1334;0.1837,0.1724;0.1565;0.1964;0.1466;0.1558,0.485,0.48,0.495,0.5,0.5199999999999999,0.010000000000000009,0.03499999999999992,0.53,0.5449999999999999,0.56,0.56,0.0
Cho2017,9,240,64,5,0.015,1.5865567811206474,0.02288113131345293,0.2805502764799073,0.00916721395888039,0,2,0,0.2806;0.1523;0.2012;0.1950;0.1711,0.0870;0.1611;0.1640;0.1424;0.1612,0.575,0.5666666666666667,0.5666666666666667,0.5708333333333334,0.5291666666666667,-0.008333333333333304,0.0,0.5708333333333333,0.5083333333333333,0.5625,0.5625,0.0
Cho2017,10,200,64,5,0.015,0.993304084532771,0.6161338279013293,0.70619581299192,0.04096260026472417,1,3,0,0.0537;0.7062;0.0460;0.0778;0.1162,0.1583;0.1568;0.1541;0.1671;0.1141,0.6,0.605,0.58,0.59,0.64,-0.020000000000000018,0.040000000000000036,0.615,0.655,0.63,0.63,0.0
Cho2017,11,200,64,5,0.015,1.3052260354239162,0.30421187701018404,0.5327819253882546,0.029488168070671266,3,3,1,0.1001;0.0746;0.1950;0.5328;0.0975,0.1479;0.1723;0.1786;0.2157;0.1723,0.6199999999999999,0.5999999999999999,0.58,0.575,0.55,-0.039999999999999925,0.0,0.625,0.5449999999999999,0.625,0.625,0.0
Cho2017,12,200,64,5,0.015,1.2165073506126625,0.3929305618214378,0.5675584916986516,0.0350356168660643,2,3,0,0.1027;0.0622;0.5676;0.2126;0.0549,0.1631;0.1688;0.1642;0.1927;0.1646,0.635,0.6399999999999999,0.645,0.625,0.585,0.010000000000000009,0.010000000000000009,0.6200000000000001,0.53,0.625,0.625,0.0
