dataset,subject,n_trials,n_channels,n_bands,FBCNet,fbcnet_seconds,fbcnet_params,FBCSP,FBCSP_seconds,FBCSP-L2,FBCSP-L2_seconds,AWFBCSP-published,AWFBCSP-published_seconds,AWFBCSP-reg,AWFBCSP-reg_seconds
Lee2019-MI,40,100,62,5,0.65,25.09355092048645,12962,0.62,3.2744956016540527,0.6000000000000001,3.700498342514038,0.62,3.9369537830352783,0.6300000000000001,3.686555862426758
Lee2019-MI,41,100,62,5,0.55,39.09418511390686,12962,0.56,3.3021740913391113,0.6599999999999999,3.751505136489868,0.6,3.960158109664917,0.62,3.747885227203369
Lee2019-MI,42,100,62,5,0.54,26.2583909034729,12962,0.68,3.288257122039795,0.64,3.7428369522094727,0.65,4.0281946659088135,0.65,3.7048017978668213
Lee2019-MI,43,100,62,5,0.5599999999999999,26.733180046081543,12962,0.8299999999999998,3.2936079502105713,0.8100000000000002,3.705357074737549,0.7999999999999999,3.9490160942077637,0.7,3.714416742324829
Lee2019-MI,44,100,62,5,0.8400000000000001,71.57780003547668,12962,0.95,3.3245933055877686,0.9,3.7609519958496094,0.93,3.963799238204956,0.9099999999999999,3.7525758743286133
Lee2019-MI,45,100,62,5,0.52,35.50521659851074,12962,0.89,3.297459840774536,0.7699999999999999,3.7761619091033936,0.8699999999999999,3.934278964996338,0.82,3.7327258586883545
Lee2019-MI,46,100,62,5,0.5399999999999999,22.024657011032104,12962,0.61,3.2853927612304688,0.56,3.7430291175842285,0.6,3.9381110668182373,0.51,3.7545273303985596
Lee2019-MI,47,100,62,5,0.54,24.813836812973022,12962,0.75,3.313431978225708,0.74,3.825100898742676,0.72,4.056868076324463,0.6599999999999999,3.808711290359497
Lee2019-MI,48,100,62,5,0.51,36.216490268707275,12962,0.5800000000000001,3.2905588150024414,0.5900000000000001,3.7864909172058105,0.61,3.9904654026031494,0.53,3.7722551822662354
Lee2019-MI,49,100,62,5,0.58,56.80720639228821,12962,0.8099999999999999,3.273427724838257,0.8299999999999998,3.699147939682007,0.82,3.926985502243042,0.7300000000000001,3.774890899658203
Lee2019-MI,50,100,62,5,0.5599999999999999,23.273674488067627,12962,0.6300000000000001,3.3022992610931396,0.62,3.7675557136535645,0.6,3.9277055263519287,0.52,3.6955831050872803
Lee2019-MI,51,100,62,5,0.49000000000000005,24.23803424835205,12962,0.48999999999999994,3.3095250129699707,0.42000000000000004,3.7800419330596924,0.5,3.981720447540283,0.51,3.7617218494415283
Lee2019-MI,52,100,62,5,0.51,31.571197748184204,12962,0.77,3.306889772415161,0.7700000000000001,3.7626495361328125,0.79,3.9683279991149902,0.6699999999999999,3.7634003162384033
Lee2019-MI,53,100,62,5,0.6199999999999999,30.570988416671753,12962,0.57,3.322552442550659,0.5700000000000001,3.784755229949951,0.5900000000000001,3.969219207763672,0.6100000000000001,3.760457992553711
Lee2019-MI,54,100,62,5,0.51,22.92527961730957,12962,0.5700000000000001,3.3084611892700195,0.5900000000000001,3.725306749343872,0.5700000000000001,3.9631755352020264,0.55,3.7546937465667725
Cho2017,1,200,64,5,0.6599999999999999,63.70310378074646,13282,0.6599999999999999,5.1461663246154785,0.675,5.826446056365967,0.6599999999999999,6.268892526626587,0.665,5.8321616649627686
Cho2017,2,200,64,5,0.515,29.515983819961548,13282,0.525,5.130922079086304,0.525,5.814106464385986,0.515,6.253716468811035,0.475,5.815914154052734
Cho2017,3,200,64,5,0.985,113.5182671546936,13282,0.7950000000000002,5.1168036460876465,0.8,5.8298468589782715,0.79,6.2505340576171875,0.7749999999999999,5.818873167037964
Cho2017,4,200,64,5,0.75,89.19509887695312,13282,0.76,5.143290758132935,0.735,5.7918806076049805,0.76,6.261934280395508,0.735,5.831076622009277
Cho2017,5,200,64,5,0.8099999999999999,94.48363590240479,13282,0.71,5.141539573669434,0.7300000000000001,5.837899446487427,0.705,6.254379510879517,0.76,5.816023588180542
Cho2017,6,200,64,5,0.6849999999999999,59.607046604156494,13282,0.74,5.165894985198975,0.765,5.8448827266693115,0.72,6.297401428222656,0.765,5.8456809520721436
Cho2017,7,240,64,5,0.5916666666666666,43.4296600818634,13282,0.5166666666666667,6.039900302886963,0.5166666666666667,6.860057353973389,0.5166666666666667,7.357657432556152,0.5,6.865202188491821
Cho2017,8,200,64,5,0.49499999999999994,39.441006660461426,13282,0.53,5.134417295455933,0.485,5.836595773696899,0.56,6.245649337768555,0.495,5.8470683097839355
Cho2017,9,240,64,5,0.5958333333333333,45.959818601608276,13282,0.5708333333333333,6.039191722869873,0.575,6.856630802154541,0.5625,7.358330011367798,0.5666666666666667,6.851239204406738
Cho2017,10,200,64,5,0.515,34.11272740364075,13282,0.615,5.122644662857056,0.6,5.794388771057129,0.63,6.249368667602539,0.58,5.809088468551636
Cho2017,11,200,64,5,0.555,32.794528007507324,13282,0.625,5.143498182296753,0.6199999999999999,5.799896478652954,0.625,6.253536701202393,0.58,5.804437160491943
Cho2017,12,200,64,5,0.6599999999999999,60.709776878356934,13282,0.6200000000000001,5.129662990570068,0.635,5.829831123352051,0.625,6.255545616149902,0.645,5.804076433181763
Cho2017,13,200,64,5,0.765,83.67916369438171,13282,0.7949999999999999,5.123074769973755,0.8049999999999999,5.821990728378296,0.7949999999999999,6.33245587348938,0.695,5.8415305614471436
Cho2017,14,200,64,5,0.9549999999999998,101.51706266403198,13282,0.905,5.3404083251953125,0.905,5.939766883850098,0.905,6.243199348449707,0.905,5.828889846801758
Cho2017,15,200,64,5,0.505,31.176037311553955,13282,0.595,5.148801326751709,0.585,5.885780096054077,0.615,6.31800651550293,0.6,5.843103647232056
Cho2017,16,200,64,5,0.49499999999999994,31.513025045394897,13282,0.525,5.1371071338653564,0.52,5.858486652374268,0.525,6.316242218017578,0.515,5.832448959350586
Cho2017,17,200,64,5,0.495,31.18559718132019,13282,0.495,5.13078498840332,0.5050000000000001,5.735706090927124,0.5,6.069606304168701,0.525,5.73662257194519
