dataset,subject,n_trials,n_channels,n_bands,tau,descriptor,entropy,deficit,max_w,mi_range,argmax_w,argmax_disc,peak_correct,weights,disc,g0.0,g0.5,g1.0,g2.0,g4.0,gain,gain_best,FBCSP,FBCSP+MIBIF,AWFBCSP-published,AWFBCSP-noweight,published_minus_noweight
Lee2019-MI,41,100,62,7,0.015,csp,0.07734539683371314,1.8685647522216,0.988989791952764,0.11698153360123459,1,1,1,0.0017;0.9890;0.0030;0.0042;0.0011;0.0004;0.0006,0.2306;0.3265;0.2397;0.2445;0.2249;0.2095;0.2153,0.64,0.65,0.61,0.58,0.5599999999999999,-0.030000000000000027,0.010000000000000009,0.53,0.5599999999999999,0.5599999999999999,0.5599999999999999,0.0
Lee2019-MI,42,100,62,7,0.015,csp,0.7733836176116754,1.172526531443638,0.7682814671490841,0.16320011031802012,2,2,1,0.0000;0.0010;0.7683;0.0418;0.0008;0.1358;0.0523,0.1230;0.1865;0.2862;0.2425;0.1832;0.2602;0.2459,0.64,0.61,0.62,0.6,0.5900000000000001,-0.020000000000000018,0.0,0.65,0.53,0.65,0.65,0.0
Lee2019-MI,43,100,62,7,0.015,csp,0.7626856498006567,1.1832244992546566,0.7395004539727792,0.11733044803247764,4,4,1,0.0003;0.0005;0.2055;0.0327;0.7395;0.0139;0.0076,0.2117;0.2184;0.3099;0.2823;0.3291;0.2695;0.2604,0.78,0.73,0.69,0.66,0.65,-0.09000000000000008,0.0,0.8400000000000001,0.72,0.8699999999999999,0.8699999999999999,0.0
Lee2019-MI,44,100,62,7,0.015,csp,0.9074787536657126,1.0384313953896007,0.6800104212530941,0.10027033850035219,4,4,1,0.0962;0.2030;0.0161;0.0008;0.6800;0.0019;0.0019,0.2302;0.2414;0.2034;0.1593;0.2595;0.1716;0.1711,0.8400000000000001,0.8699999999999999,0.86,0.8099999999999999,0.77,0.019999999999999907,0.029999999999999805,0.9400000000000001,0.8699999999999999,0.9299999999999999,0.9299999999999999,0.0
Lee2019-MI,45,100,62,7,0.015,csp,1.1685417246367382,0.777368424418575,0.5464532570919335,0.11014385721228237,4,4,1,0.0142;0.1332;0.0004;0.2629;0.5465;0.0353;0.0077,0.2408;0.2743;0.1854;0.2845;0.2955;0.2544;0.2316,0.75,0.8699999999999999,0.85,0.85,0.85,0.09999999999999998,0.11999999999999988,0.8400000000000001,0.9399999999999998,0.85,0.85,0.0
Lee2019-MI,46,100,62,7,0.015,csp,0.3474194698924922,1.598490679162821,0.9153338064942469,0.11602100924619266,2,2,1,0.0697;0.0024;0.9153;0.0027;0.0085;0.0010;0.0004,0.1914;0.1410;0.2300;0.1425;0.1598;0.1272;0.1140,0.6100000000000001,0.59,0.6199999999999999,0.61,0.6,0.009999999999999787,0.009999999999999787,0.5700000000000001,0.5,0.58,0.58,0.0
Lee2019-MI,47,100,62,7,0.015,csp,1.2357351878983756,0.7101749611569377,0.4095401827472807,0.23677624284367924,3,3,1,0.0000;0.0300;0.0102;0.4095;0.0038;0.2158;0.3306,0.0301;0.2277;0.2115;0.2668;0.1966;0.2572;0.2636,0.7,0.71,0.61,0.62,0.61,-0.08999999999999997,0.010000000000000009,0.71,0.6300000000000001,0.72,0.72,0.0
Lee2019-MI,48,100,62,7,0.015,csp,1.5643279233867264,0.3815822256685868,0.4032776584488149,0.04595563287891352,1,1,1,0.2595;0.4033;0.0188;0.1448;0.0665;0.0495;0.0576,0.2031;0.2097;0.1637;0.1943;0.1827;0.1782;0.1805,0.58,0.49000000000000005,0.48,0.54,0.5700000000000001,-0.09999999999999998,0.0,0.5700000000000001,0.6399999999999999,0.55,0.55,0.0
Lee2019-MI,49,100,62,7,0.015,csp,0.5030821772938552,1.442827971761458,0.8832612091456769,0.13350151486508907,2,2,1,0.0001;0.0010;0.8833;0.0590;0.0133;0.0115;0.0319,0.2069;0.2387;0.3404;0.2998;0.2774;0.2752;0.2906,0.8299999999999998,0.74,0.73,0.74,0.6900000000000001,-0.09999999999999987,0.0,0.8699999999999999,0.7100000000000001,0.86,0.86,0.0
Lee2019-MI,50,100,62,7,0.015,csp,0.5996496566682895,1.3462604923870236,0.870768467278208,0.07482374887863297,1,1,1,0.0106;0.8708;0.0262;0.0302;0.0348;0.0216;0.0059,0.2921;0.3582;0.3057;0.3078;0.3099;0.3028;0.2834,0.5700000000000001,0.5900000000000001,0.5799999999999998,0.5800000000000001,0.5900000000000001,0.009999999999999787,0.020000000000000018,0.6,0.5799999999999998,0.6,0.6,0.0
Lee2019-MI,51,100,62,7,0.015,csp,1.3223043764931997,0.6236057725621136,0.5216561377873677,0.08338537665519385,2,2,1,0.1151;0.1393;0.5217;0.0035;0.1842;0.0342;0.0020,0.1506;0.1535;0.1733;0.0982;0.1577;0.1324;0.0899,0.49000000000000005,0.45,0.45999999999999996,0.45999999999999996,0.48,-0.030000000000000082,0.0,0.5199999999999999,0.4700000000000001,0.51,0.51,0.0
Lee2019-MI,52,100,62,7,0.015,csp,1.2933237025492237,0.6525864465060895,0.4105964660113144,0.1707912565021443,3,3,1,0.0001;0.0000;0.3262;0.4106;0.0357;0.0401;0.1873,0.2173;0.1769;0.3442;0.3477;0.3110;0.3128;0.3359,0.7300000000000001,0.6799999999999999,0.68,0.6699999999999999,0.6599999999999999,-0.050000000000000044,0.0,0.74,0.62,0.77,0.77,0.0
Lee2019-MI,53,100,62,7,0.015,csp,0.7890018273153089,1.1569083217400045,0.6221738460060389,0.10330424959304443,1,1,1,0.0036;0.6222;0.0020;0.0131;0.3522;0.0006;0.0064,0.1826;0.2597;0.1734;0.2018;0.2512;0.1564;0.1910,0.58,0.6,0.6399999999999999,0.6399999999999999,0.6499999999999999,0.05999999999999994,0.06999999999999995,0.5599999999999999,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.0
Lee2019-MI,54,100,62,7,0.015,csp,0.7869965578354976,1.1589135912198156,0.7110431140556988,0.08474458673438276,1,1,1,0.0085;0.7110;0.2446;0.0110;0.0025;0.0038;0.0186,0.0938;0.1602;0.1442;0.0976;0.0755;0.0816;0.1056,0.58,0.55,0.5399999999999999,0.56,0.54,-0.040000000000000036,0.0,0.58,0.49000000000000005,0.58,0.58,0.0
Cho2017,1,200,64,7,0.015,csp,0.545270688820187,1.4006394602351262,0.8744433255412645,0.08975266783694985,5,5,1,0.0022;0.0059;0.0358;0.0060;0.0161;0.8744;0.0597,0.1327;0.1474;0.1746;0.1477;0.1625;0.2225;0.1822,0.6549999999999999,0.6,0.5599999999999999,0.535,0.48,-0.09499999999999997,0.0,0.6950000000000001,0.7550000000000001,0.6950000000000001,0.6950000000000001,0.0
