dataset,subject,n_bands,n_channels,n_trials,best_band,best_band_acc,acc_spread,band_acc,logvar_li_argmax,logvar_li_correct,logvar_li_rho,logvar_li_maxw,logvar_li_entropy,logvar_li_mi_max,logvar_li_acc_cost,logpower_argmax,logpower_correct,logpower_rho,logpower_maxw,logpower_entropy,logpower_mi_max,logpower_acc_cost,csp_argmax,csp_correct,csp_rho,csp_maxw,csp_entropy,csp_mi_max,csp_acc_cost
Lee2019-MI,9,5,62,100,0,0.61,0.18,0.6100;0.5400;0.4300;0.4900;0.5300,4,0,-0.6,0.5491443648325482,1.2961282101329716,0.034288555459560666,0.07999999999999996,0,1,0.6,0.3892037135028849,1.492741830272697,0.03294156238306921,0.0,4,0,-0.19999999999999998,0.6596337662442676,0.8513877218795158,0.31046623324649725,0.07999999999999996
Lee2019-MI,10,5,62,100,0,0.7200000000000001,0.2700000000000001,0.7200;0.6100;0.5800;0.5900;0.4500,3,0,-0.09999999999999999,0.5061533183252952,1.2093079789037793,0.05047223893924957,0.13,3,0,0.19999999999999998,0.3234092167959768,1.5486056225276745,0.03264135203525364,0.13,1,0,0.7999999999999999,0.6856822863186147,0.6301271032728856,0.2544395310675478,0.10999999999999999
Lee2019-MI,11,5,62,100,0,0.5900000000000001,0.1100000000000001,0.5900;0.5800;0.5500;0.4800;0.5400,2,0,-0.09999999999999999,0.6769337448747639,1.0399383982251498,0.04752849287050339,0.040000000000000036,4,0,0.0,0.3731078617248036,1.4486856258398073,0.036235799039390705,0.050000000000000155,0,1,0.8999999999999998,0.8449506533696686,0.45820201292463086,0.3125963319863363,0.0
Lee2019-MI,12,5,62,100,0,0.76,0.18000000000000005,0.7600;0.6300;0.6000;0.6100;0.5800,3,0,0.3,0.5012982322700439,1.3151221751375037,0.03959633760746558,0.15000000000000002,2,0,0.3,0.2526110773251786,1.592228680399646,0.02456091628587762,0.16000000000000003,0,1,0.9999999999999999,0.7103171519263981,0.7615571165241835,0.2115934952220336,0.0
Lee2019-MI,13,5,62,100,0,0.7799999999999999,0.31999999999999984,0.7800;0.4600;0.4800;0.5500;0.6500,1,0,-0.09999999999999999,0.38586048202228784,1.3173403393812206,0.0336585234545285,0.31999999999999984,3,0,-0.19999999999999998,0.277606705619606,1.5580386372177846,0.023804536122353368,0.22999999999999987,2,0,0.0,0.5344500173191546,1.0372226790998647,0.2533927676269946,0.29999999999999993
Lee2019-MI,14,5,62,100,3,0.63,0.15999999999999998,0.4700;0.5600;0.5500;0.6300;0.5200,1,0,0.6,0.8368949937648722,0.6504047323933022,0.057715127103142715,0.06999999999999995,2,0,-0.3,0.28602196795585855,1.5791835180843437,0.029062782339261736,0.07999999999999996,3,1,0.7999999999999999,0.44546136842282813,1.2524360676314468,0.19139078851967536,0.0
Lee2019-MI,15,5,62,100,0,0.79,0.21999999999999997,0.7900;0.6400;0.5700;0.6100;0.6000,4,0,0.09999999999999999,0.6529822266489668,1.1103474471170707,0.06305566375603333,0.19000000000000006,4,0,0.19999999999999998,0.39868313154916146,1.4791668083789005,0.049010750053307926,0.19000000000000006,0,1,0.7,0.9948469213735339,0.0378829902679618,0.31248980655590214,0.0
Lee2019-MI,16,5,62,100,4,0.7000000000000001,0.14,0.6000;0.5600;0.6200;0.6200;0.7000,4,1,0.6155870112510925,0.8533713473741887,0.5750553012351018,0.08252107578409151,0.0,1,0,-0.20519567041703082,0.3702600554705749,1.5206402581358642,0.029695123249558232,0.14,0,0,-0.6155870112510925,0.5674752920228008,1.1368696883111904,0.16573479410170047,0.10000000000000009
Lee2019-MI,17,5,62,100,3,0.69,0.21999999999999992,0.5000;0.4700;0.5500;0.6900;0.5800,2,0,0.3,0.7698454375909168,0.7410335328922102,0.06923896437697989,0.1399999999999999,0,0,-0.7999999999999999,0.24256444396099688,1.5862999316372506,0.020735131324337228,0.18999999999999995,3,1,0.6,0.5398889725828887,0.7036351583216978,0.2678810793392904,0.0
Lee2019-MI,18,5,62,100,1,0.9200000000000002,0.4300000000000001,0.7000;0.9200;0.4900;0.5600;0.7400,1,1,0.8999999999999998,0.7513608993239158,0.8785523074204913,0.049431919569935166,0.0,1,1,0.8999999999999998,0.26587495757517376,1.584115160043071,0.022403909124291525,0.0,1,1,0.3,0.9980910259503553,0.015442317292099874,0.367173285661041,0.0
Lee2019-MI,19,5,62,100,0,0.6900000000000001,0.2800000000000001,0.6900;0.5200;0.5700;0.6400;0.4100,0,1,0.6,0.9382518344406666,0.28960006980944186,0.08483742610044165,0.0,3,0,0.7999999999999999,0.2960123066997809,1.55191120522808,0.02713529032764501,0.050000000000000044,1,0,0.0,0.7941449270272837,0.754032046497043,0.2589502659251696,0.17000000000000004
Lee2019-MI,20,5,62,100,2,0.66,0.09999999999999998,0.6400;0.5600;0.6600;0.6300;0.6200,1,0,0.0,0.6071122050727338,1.1852260820867733,0.036317694409704705,0.09999999999999998,2,1,0.3,0.25495278299837365,1.5965707736549097,0.02570235050084616,0.0,1,0,-0.3,0.6370536454828003,0.8545111561283776,0.20129105636939995,0.09999999999999998
Lee2019-MI,21,5,62,100,1,1.0,0.47,0.6500;1.0000;0.5300;0.5700;0.8900,3,0,-0.3,0.5426456283975069,1.3193865246152687,0.02593966823567347,0.42999999999999994,1,1,0.8999999999999998,0.9872110926885208,0.0856478122303826,0.10738939309105847,0.0,1,1,0.7,0.9966098918757954,0.023558001834538593,0.4414518819458092,0.0
Lee2019-MI,22,5,62,100,0,0.68,0.18000000000000005,0.6800;0.5000;0.5100;0.5700;0.5000,2,0,0.41039134083406165,0.49546367703360783,1.3609108844155342,0.03527404041205617,0.17000000000000004,2,0,0.20519567041703082,0.3106923280774511,1.5585271544720416,0.021375079442150603,0.17000000000000004,1,0,-0.10259783520851541,0.8130626364565702,0.5165735912388418,0.3055352486846432,0.18000000000000005
Lee2019-MI,23,5,62,100,1,0.78,0.15000000000000002,0.7200;0.7800;0.7700;0.6300;0.6600,2,0,0.49999999999999994,0.8586691007875153,0.584207608440575,0.059241979879995466,0.010000000000000009,1,1,0.7,0.26625732275000186,1.5737623192360293,0.024543148547163548,0.0,1,1,0.7999999999999999,0.7022771676352716,0.7243167675353134,0.3220095360601812,0.0
Lee2019-MI,24,5,62,100,0,0.65,0.17000000000000004,0.6500;0.4800;0.5500;0.5400;0.6000,3,0,0.19999999999999998,0.5507763553761718,1.0641108482743782,0.07312343502615663,0.10999999999999999,0,1,0.09999999999999999,0.32360033057269744,1.5173242312996305,0.03570802128658352,0.0,4,0,-0.09999999999999999,0.83663969143846,0.6123675352792834,0.3114728788463821,0.050000000000000044
Lee2019-MI,25,5,62,100,4,0.8600000000000001,0.10000000000000009,0.8600;0.8500;0.7600;0.8200;0.8600,3,0,0.39999999999999997,0.4216126718679211,1.319561118209367,0.03355728216399837,0.04000000000000015,3,0,-0.09999999999999999,0.2613809223560053,1.5718907433961888,0.030044133669850596,0.04000000000000015,0,0,0.19999999999999998,0.6931032078778427,0.7189117668795331,0.31866141336170206,1.1102230246251565e-16
Lee2019-MI,26,5,62,100,0,0.68,0.17000000000000004,0.6800;0.5500;0.6100;0.5100;0.5800,0,1,0.7,0.3448217130269043,1.5284777402045062,0.039048343390353756,0.0,3,0,-0.19999999999999998,0.2909428070810368,1.528180477296662,0.02824519754311435,0.17000000000000004,1,0,0.0,0.6286287877074621,1.0944939148826363,0.1811863762596451,0.13
